
Timeframe & Parameter Performance (sorted by total return):
|      | start               | end                 |   lookback |   z_enter |   z_exit |   max_holding |   total_return |       sharpe |            max_dd | pair      |
|-----:|:--------------------|:--------------------|-----------:|----------:|---------:|--------------:|---------------:|-------------:|------------------:|:----------|
|    0 | 2020-01-01 00:00:00 | 2020-12-31 00:00:00 |         30 |       2.5 |      0.5 |             5 |    0.0587766   |   1.31526    |      -8.97483e+07 | SHEL,VLO  |
|    1 | 2020-01-01 00:00:00 | 2020-12-31 00:00:00 |         30 |       2.5 |      1   |             5 |    0.0528554   |   1.19764    |      -8.97483e+07 | SHEL,VLO  |
|    2 | 2020-01-01 00:00:00 | 2020-12-31 00:00:00 |         30 |       2.5 |      0.5 |            10 |    0.0432998   |   0.915081   |      -8.97483e+07 | SHEL,VLO  |
|    3 | 2020-01-01 00:00:00 | 2020-12-31 00:00:00 |         30 |       2.5 |      1   |            10 |    0.0373786   |   0.798928   |      -8.97483e+07 | SHEL,VLO  |
|    4 | 2020-01-01 00:00:00 | 2020-12-31 00:00:00 |         30 |       2.5 |      0.5 |            20 |    0.000516473 |   0.00835566 |      -8.97483e+07 | SHEL,VLO  |
| 6115 | 2023-01-15 00:00:00 | 2024-01-15 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6120 | 2023-05-15 00:00:00 | 2024-05-14 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6119 | 2024-04-09 00:00:00 | 2025-04-09 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6118 | 2024-03-10 00:00:00 | 2025-03-10 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6117 | 2023-03-16 00:00:00 | 2024-03-15 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6116 | 2023-03-16 00:00:00 | 2024-03-15 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6113 | 2023-01-15 00:00:00 | 2024-01-15 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6114 | 2024-03-10 00:00:00 | 2025-03-10 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6122 | 2023-04-15 00:00:00 | 2024-04-14 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6112 | 2023-01-15 00:00:00 | 2024-01-15 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6111 | 2023-02-14 00:00:00 | 2024-02-14 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6110 | 2023-02-14 00:00:00 | 2024-02-14 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6109 | 2023-02-14 00:00:00 | 2024-02-14 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6121 | 2023-05-15 00:00:00 | 2024-05-14 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6124 | 2023-04-15 00:00:00 | 2024-04-14 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6123 | 2023-04-15 00:00:00 | 2024-04-14 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6107 | 2023-02-14 00:00:00 | 2024-02-14 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6125 | 2023-04-15 00:00:00 | 2024-04-14 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6126 | 2023-04-15 00:00:00 | 2024-04-14 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6127 | 2023-04-15 00:00:00 | 2024-04-14 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6128 | 2024-05-09 00:00:00 | 2025-05-09 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6129 | 2024-05-09 00:00:00 | 2025-05-09 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6130 | 2024-05-09 00:00:00 | 2025-05-09 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6131 | 2024-05-09 00:00:00 | 2025-05-09 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6132 | 2024-04-09 00:00:00 | 2025-04-09 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6133 | 2024-04-09 00:00:00 | 2025-04-09 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6134 | 2024-03-10 00:00:00 | 2025-03-10 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6135 | 2024-04-09 00:00:00 | 2025-04-09 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6108 | 2023-02-14 00:00:00 | 2024-02-14 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6105 | 2023-02-14 00:00:00 | 2024-02-14 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6106 | 2023-03-16 00:00:00 | 2024-03-15 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6137 | 2024-04-09 00:00:00 | 2025-04-09 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6078 | 2020-08-28 00:00:00 | 2021-08-28 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6079 | 2020-08-28 00:00:00 | 2021-08-28 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6080 | 2020-08-28 00:00:00 | 2021-08-28 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6081 | 2023-07-14 00:00:00 | 2024-07-13 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6082 | 2023-07-14 00:00:00 | 2024-07-13 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6083 | 2023-07-14 00:00:00 | 2024-07-13 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6084 | 2023-07-14 00:00:00 | 2024-07-13 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6085 | 2023-07-14 00:00:00 | 2024-07-13 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6086 | 2023-07-14 00:00:00 | 2024-07-13 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6087 | 2020-09-27 00:00:00 | 2021-09-27 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6088 | 2020-09-27 00:00:00 | 2021-09-27 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6089 | 2020-09-27 00:00:00 | 2021-09-27 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6090 | 2020-09-27 00:00:00 | 2021-09-27 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6091 | 2020-09-27 00:00:00 | 2021-09-27 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6092 | 2023-05-15 00:00:00 | 2024-05-14 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6093 | 2020-07-29 00:00:00 | 2021-07-29 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6094 | 2023-05-15 00:00:00 | 2024-05-14 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6095 | 2023-10-12 00:00:00 | 2024-10-11 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6096 | 2023-03-16 00:00:00 | 2024-03-15 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6097 | 2023-03-16 00:00:00 | 2024-03-15 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6098 | 2023-05-15 00:00:00 | 2024-05-14 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6099 | 2023-03-16 00:00:00 | 2024-03-15 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6100 | 2023-10-12 00:00:00 | 2024-10-11 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6101 | 2023-10-12 00:00:00 | 2024-10-11 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6102 | 2023-10-12 00:00:00 | 2024-10-11 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6103 | 2023-10-12 00:00:00 | 2024-10-11 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 6104 | 2023-10-12 00:00:00 | 2024-10-11 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 6136 | 2024-04-09 00:00:00 | 2025-04-09 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 5950 | 2022-09-17 00:00:00 | 2023-09-17 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | AAPL,SHEL |
| 5951 | 2022-09-17 00:00:00 | 2023-09-17 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | AAPL,SHEL |
| 6076 | 2020-08-28 00:00:00 | 2021-08-28 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | AAPL,SHEL |
| 2990 | 2024-03-10 00:00:00 | 2025-03-10 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | VLO,XOM   |
| 2991 | 2024-02-09 00:00:00 | 2025-02-08 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | VLO,XOM   |
| 2992 | 2022-02-19 00:00:00 | 2023-02-19 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | VLO,XOM   |
| 2993 | 2024-02-09 00:00:00 | 2025-02-08 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | VLO,XOM   |
| 2994 | 2024-02-09 00:00:00 | 2025-02-08 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | VLO,XOM   |
| 2995 | 2022-02-19 00:00:00 | 2023-02-19 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | VLO,XOM   |
| 2996 | 2022-02-19 00:00:00 | 2023-02-19 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | VLO,XOM   |
| 2997 | 2024-02-09 00:00:00 | 2025-02-08 00:00:00 |         10 |       2.5 |      1   |            10 |    0           | nan          |       0           | VLO,XOM   |
| 2998 | 2024-02-09 00:00:00 | 2025-02-08 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | VLO,XOM   |
| 2999 | 2022-02-19 00:00:00 | 2023-02-19 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | VLO,XOM   |
| 3000 | 2022-03-21 00:00:00 | 2023-03-21 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | VLO,XOM   |
| 3001 | 2024-01-10 00:00:00 | 2025-01-09 00:00:00 |         10 |       2.5 |      0.5 |             5 |    0           | nan          |       0           | VLO,XOM   |
| 3002 | 2022-03-21 00:00:00 | 2023-03-21 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | VLO,XOM   |
| 3003 | 2022-03-21 00:00:00 | 2023-03-21 00:00:00 |         10 |       2.5 |      1   |            20 |    0           | nan          |       0           | VLO,XOM   |
| 3004 | 2022-01-20 00:00:00 | 2023-01-20 00:00:00 |         10 |       2.5 |      0.5 |            10 |    0           | nan          |       0           | VLO,XOM   |
| 3005 | 2022-01-20 00:00:00 | 2023-01-20 00:00:00 |         10 |       2.5 |      0.5 |            20 |    0           | nan          |       0           | VLO,XOM   |
| 3006 | 2022-01-20 00:00:00 | 2023-01-20 00:00:00 |         10 |       2.5 |      1   |             5 |    0           | nan          |       0           | VLO,XOM   |
